timestamp,target_x,target_y,gaze_x,gaze_y,error_x,error_y,error_distance,target_index
1763690709.7305632,756,835,1359,981,603,146,620.4232426336073,7
1763690709.767203,756,835,1359,981,603,146,620.4232426336073,7
1763690709.801557,756,835,1359,981,603,146,620.4232426336073,7
1763690709.843766,756,835,1357,981,601,146,618.4795873753636,7
1763690709.879721,756,835,1359,981,603,146,620.4232426336073,7
1763690709.9138,756,835,1362,981,606,146,623.3393939099309,7
1763690709.948799,756,835,1362,981,606,146,623.3393939099309,7
1763690709.985657,756,835,1359,981,603,146,620.4232426336073,7
1763690710.021589,756,835,1357,981,601,146,618.4795873753636,7
1763690710.056463,756,835,1357,981,601,146,618.4795873753636,7
1763690710.091091,756,835,1359,981,603,146,620.4232426336073,7
1763690710.133419,756,835,1359,981,603,146,620.4232426336073,7
1763690710.1697521,756,835,1359,981,603,146,620.4232426336073,7
1763690710.2031062,756,835,1359,981,603,146,620.4232426336073,7
1763690710.24596,756,835,1357,981,601,146,618.4795873753636,7
1763690710.280156,756,835,1357,981,601,146,618.4795873753636,7
1763690710.31523,756,835,1354,981,598,146,615.5647813187496,7
1763690710.351985,756,835,1349,981,593,146,610.7086048190249,7
1763690710.3862379,756,835,1349,981,593,146,610.7086048190249,7
1763690710.420938,756,835,1349,981,593,146,610.7086048190249,7
1763690710.458688,756,835,1349,981,593,146,610.7086048190249,7
1763690710.498444,756,835,1347,981,591,146,608.7667862161995,7
1763690710.541491,756,835,1347,981,591,146,608.7667862161995,7
1763690710.578051,756,835,1342,981,586,146,603.9139011481686,7
1763690710.620596,756,835,1342,981,586,146,603.9139011481686,7
1763690710.6567428,756,835,1342,981,586,146,603.9139011481686,7
1763690710.698838,756,835,1347,981,591,146,608.7667862161995,7
1763690710.7401102,756,835,1406,981,650,146,666.195166599098,7
1763690710.776864,756,835,1404,981,648,146,664.2439310976051,7
1763690710.818391,756,835,1399,981,643,146,659.3671208060044,7
1763690710.858328,756,835,1397,981,641,146,657.4169149025602,7
1763690710.901531,756,835,1399,981,643,146,659.3671208060044,7
1763690710.9463549,756,835,1401,981,645,146,661.3176241413803,7
1763690710.984153,756,835,1401,981,645,146,661.3176241413803,7
1763690711.020094,756,835,1399,981,643,146,659.3671208060044,7
1763690711.05707,756,835,1392,981,636,146,652.5427189081187,7
1763690711.091776,756,835,1389,981,633,146,649.6191191767681,7
1763690711.128754,756,835,1387,981,631,146,647.6704408879565,7
1763690711.163465,1286,835,1387,981,101,146,177.53027910753704,8
1763690711.205795,1286,835,1387,981,101,146,177.53027910753704,8
1763690711.242479,1286,835,1387,981,101,146,177.53027910753704,8
1763690711.2849338,1286,835,1389,981,103,146,178.67568385205638,8
1763690711.321341,1286,835,1392,981,106,146,180.42172818150257,8
1763690711.363484,1286,835,1394,981,108,146,181.60396471443016,8
1763690711.4057221,1286,835,1409,981,123,146,190.90573590125572,8
1763690711.4408882,1286,835,1409,981,123,146,190.90573590125572,8
1763690711.483397,1286,835,1409,981,123,146,190.90573590125572,8
1763690711.522122,1286,835,1414,981,128,146,194.164878389476,8
1763690711.5577312,1286,835,1416,981,130,146,195.48913013259843,8
1763690711.596707,1286,835,1416,981,130,146,195.48913013259843,8
1763690711.631546,1286,835,1416,981,130,146,195.48913013259843,8
1763690711.667288,1286,835,1414,981,128,146,194.164878389476,8
